Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5487999366341736,1.3654536837783755,1.3644588716568486,0.35035971223021584,0.46261456825856245,0.4506472491909385
2,1.3200949430894509,1.2040212211847918,1.226949208013473,0.4785971223021583,0.511175430133462,0.4959546925566343
3,1.2294571699427186,1.1175334704872268,1.1453476032903118,0.5218525179856115,0.561344267567133,0.5562297734627831
4,1.1525640541701008,1.0741966605033237,1.0893278506494337,0.5512140287769784,0.5685801575816047,0.5707928802588996
5,1.0844152202280306,1.0580604080216132,1.0981467470046014,0.5825539568345324,0.5774240231548481,0.5772653721682848
6,1.04206709021287,1.020559268393063,1.0472920498540323,0.5960881294964029,0.5939861714101946,0.5829288025889967
7,0.999963903427124,0.9892870643604691,1.0191995332317967,0.6183902877697842,0.6144074610065927,0.6031553398058253
8,0.95973137237614,0.9859111333567563,0.9995948693444652,0.6315647482014388,0.6152114487859784,0.6080097087378641
9,0.9115858846216751,0.9766331489717439,1.0037427323479806,0.6508093525179857,0.6193921852387844,0.6254045307443366
10,0.8668294052640311,0.9714187589739772,0.992214064059719,0.6693345323741007,0.6155330438977328,0.6181229773462783
11,0.8303169297443019,0.966996009138372,0.9894367537190837,0.6881744604316546,0.6340247628236051,0.6298543689320388
12,0.7861351877879753,0.9859883482627819,1.0081574793784849,0.7076438848920863,0.6343463579353594,0.6193365695792881
13,0.7499770662231411,1.000224835538619,1.0167961253273872,0.7186151079136691,0.6367583212735166,0.6290453074433657
14,0.7128744123329361,1.0142565967567783,1.0374190790037956,0.7336780575539569,0.6226081363563274,0.6302588996763754
15,0.6646864256520065,1.024597573326302,1.046085246147648,0.7512140287769784,0.6316127994854478,0.6294498381877023
16,0.6443074156912111,1.0191550550546622,1.0479916007288042,0.7653776978417266,0.6417430455057083,0.6338996763754046
17,0.5998000670572836,1.0114816249106415,1.0560957331811227,0.7842176258992806,0.6407782601704454,0.6286407766990292
18,0.5608391909558568,1.0322370840605244,1.0895246838369677,0.7950089928057554,0.634989548158868,0.6258090614886731
19,0.5293150703898437,1.091352033316323,1.1139572901110495,0.8094424460431655,0.6388486894999196,0.6330906148867314
20,0.498288924724078,1.0928981129874913,1.1430410436084193,0.8219424460431655,0.6478533526290401,0.6375404530744336
21,0.46227571633007886,1.1571188074534227,1.1659571132352275,0.8344424460431654,0.6353111432706223,0.6403721682847896
